school,state,region
Texas A  M University College Station,TX,Southwest
Texas Christian University,TX,Southwest
Texas Tech University,TX,Southwest
The College of Wooster,OH,Midwest
Trinity College,CT,Northeast
Trinity University,TX,Southwest
Truman State University,MO,Midwest
Tufts University,MA,Northeast
Tulane University,LA,Southeast
Union College,NY,Northeast
United States Air Force Academy,CO,West
United States Military Academy,NY,Northeast
United States Naval Academy,MD,Southeast
University at Buffalo,NY,Northeast
University of Alabama,AL,Southeast
University of Alabama at Birmingham,AL,Southeast
University of Arizona,AZ,Southwest
University of Arkansas,AR,Southeast
University of California Berkeley,CA,West
University of California Davis,CA,West
University of California Irvine,CA,West
University of California Los Angeles,CA,West
University of California Merced,CA,West
University of California Riverside,CA,West
University of California San Diego,CA,West
University of California Santa Barbara,CA,West
University of California Santa Cruz,CA,West
University of Central Florida,FL,Southeast
University of Chicago,IL,Midwest
University of Cincinnati,OH,Midwest
University of Colorado Boulder,CO,West
University of Connecticut,CT,Northeast
University of Dayton,OH,Midwest
University of Delaware,DE,Southeast
University of Denver,CO,West
University of Florida,FL,Southeast
University of Georgia,GA,Southeast
University of Houston,TX,Southwest
University of Illinois at Chicago,IL,Midwest
University of Illinois at Urbana Champaign,IL,Midwest
University of Iowa,IA,Midwest
University of Kansas,KS,Midwest
University of Kentucky,KY,Southeast
University of Louisville,KY,Southeast
University of Maine,ME,Northeast
University of Mary Washington,VA,Southeast
University of Maryland Baltimore County,MD,Southeast
University of Maryland College Park,MD,Southeast
University of Massachusetts Amherst,MA,Northeast
University of Massachusetts Boston,MA,Northeast
University of Miami,FL,Southeast
University of Michigan,MI,Midwest
University of Minnesota Morris,MN,Midwest
University of Minnesota Twin Cities,MN,Midwest
University of Mississippi,MS,Southeast
University of Missouri Columbia,MO,Midwest
University of Nebraska Lincoln,NE,Midwest
University of Nevada Las Vegas,NV,West
University of Nevada Reno,NV,West
University of New Hampshire,NH,Northeast
University of New Mexico,NM,Southwest
University of North Carolina Wilmington,NC,Southeast
University of North Carolina at Asheville,NC,Southeast
University of North Carolina at Chapel Hill,NC,Southeast
University of North Carolina at Charlotte,NC,Southeast
University of Notre Dame,IN,Midwest
University of Oklahoma,OK,Southwest
University of Oregon,OR,West
University of Pennsylvania,PA,Northeast
University of Pittsburgh,PA,Northeast
University of Portland,OR,West
University of Puget Sound,WA,West
University of Redlands,CA,West
University of Rhode Island,RI,Northeast
University of Richmond,VA,Southeast
University of Rochester,NY,Northeast
